0,"I went into this film with fairly high hopes for it. Yeah, those hopes died about ten minutes in. Everyone is yelling in practically every scene, and there's a strange, vaguely 80's sounding soundtrack blaring in every scene. The first two acts are a mess, though the third act is a bit easier to follow, but ultimately doesn't offer all that much of a story. So, to sum it up, I'd rather watch 'Billy Madison' while getting dental work done than this trainwreck of a film."
1,"I am pretty sure this would be an Oscar nod for Sandler. One thing I can say for sure is that I have never been a Sandler fan. I have deliberately avoided his movies all along - I never liked him on SNL. In fact, I hate his moronic idiotic drooling expressions and acting. But boy did he break all my perceptions of him in this gem! This is not a movie to watch in cinema for sure. Watch it at leisure at home with possibly taking a break or two in between. It is intense and will draw you in."
1,"Movie presents a fantastic storytelling. Screenplay is outstanding. Cast is superable. It looks like a Joker. But this movie enforce abnormal level of anxiety - sounds, camera and visual effects hing your mind even after leaving the theater.
"
0,"This movie ranks in my top 5 worst movies of all time. Lots of yelling, jerky camera motion that made me nauseous, the ""f"" word made up most of the dialog. The story was awful as well. Eight of us went to see this and we all hated it. If I was watching it at home I would have turned it off after 15 minutes."
1,"This is what cinema is supposed to be! Amazing chemistry and acting by both leads, seamless CGI and practical effects to enhance the film, a firecracker script, a true story, pulse pounding soundtrack, booming sound mix, and edited so well that 2.5 hours flies by! Completely and utterly engaging . So good in fact I saw it twice within 24 hours . Once in Imax and once in Dolby cinema ."
0,"Like many American films this title attempts to rewrite history. The truth is that Ferrari were the complete underdog. What actually happened is that huge behemoth motor company Ford tried to buy the tiny Ferrari and Enzo said no. Ford threw their toys out of the pram and decided to build the GT40. With their limitless budget it took a few years for them to finally succeed at beating the tiny Ferrari company at Le Mans. And even when they did, Ford used a 5 litre engine versus Ferrari's 3 litre. This film needs remaking to tell what really happened and who the reall heroes were. They would be wearing red overalls thats for sure."
0,"This movie might have been better titled ""The Ken Miles Bio"" for the almost complete absence of point to point competition between the two car marques. Hollywood has yet to make an excellent racing movie but this one isn't even in the top ten. I gave it a three for excellence in period features such as technology, classic cars and the like. The secondary actors were better than the primaries. Don't waste your money."
1,"Not a massive fan of motor racing or motor racing movies but i did enjoy this. The major asset for the film is the cast, Matt Damon is very good but the real star of this is the fantastic Christian Bale, a superb performance from a great actor. The story of an unsung British hero, a very modest and a very real hero, he did really drive a tank in WW2, is a tale very much worth telling. It is long bit flies by - go see."
1,"Most of the time movies are anticipated like this they end up falling short, way short. Joker is the first time I was more than happy with the hype. Please ignore the complaints of ""pernicious violence"" as they are embarrassing to say the least. We haven't seen a comic movie this real before. If we ever ""deserved"" a better class of criminal - Phillips and Phoenix have delivered. This is dark, Joker IS dark and you will fall in love with the villain as you should. The bad guys are always more romantic anyway."
1,"Seriously, unbelievable. Dare I say better than Heath Ledger? If Joaquin Phoenix doesn't win the Oscar for best actor and 'Joker' doesn't win at the VERY least, best screenplay, it will be one of the biggest Oscar snubs of our time"
0,"I just didn't get the hype about this movie. And why are we entertaining such violent movies. It wasn't nearly as good as I expected it to be. No doubt the acting was good, but apart from that there's no story. It's dark depressing movie, about a guy who's dealing with bipolar disorder and killing everyone around him, including his Mother. What kind of negative message is it passing on to the society."
0,The acting is good but they waste the movie time with repeating the same subject there is a missing part in movie to give attention to the storyline Just watched him laughing only and the repeated it many times for nothing Actually i did not complete the last 10 minutes as it was boring and each time tried to leave i was saying just give it another 10 minutes maybe something will happen but really nothing
1,"Irishman is maybe the last piece of cinematic art so far. Today we're just attacked by hundreds of superheroes on the big screen, with scenes and dialogs who goes so fast, faster than blinking your eyes. After Tarantinos 'Once Upon A Time in Hollywood' we will no longer have the opportunity to enjoy slow montage footage and brilliant cult dialogues, and this movie will, thank God, give us the opportunity to enjoy it again.
"
1,"Scorsese, De Niro, Pacino, and Pesci are all operating at the top of their game. The 3 1/2 hour run time never sags. One of the great crime epics. Not since Once Upon A Time in America has a gangster epic been so superb."
0,"I guess the Hollywood people are so used to seeing 80 y/os with dyed dark hair and lots of plastic surgery, but us little people in Flyover country aren't It's kinda pathetic seeing an old DeNiro beating up a guy and acting the tough guy. The energy from all of the actors isn't there. It doesn't work at all for me."
